Date,Close/Last,Volume,Open,High,Low
05/20/2022,$2178.16,2448148,$2239.02,$2243.67,$2115.9272
05/19/2022,$2207.68,1707220,$2228.63,$2260.2,$2200
05/18/2022,$2237.99,1756299,$2300,$2308,$2231.11
05/17/2022,$2329.46,1152658,$2336.81,$2338,$2297.395
05/16/2022,$2288.9,1299522,$2299.11,$2323.4,$2277.79
05/13/2022,$2321.01,1751924,$2290.66,$2357.5,$2272.1001
05/12/2022,$2256.88,2691809,$2227.55,$2285.9,$2196.49
05/11/2022,$2272.05,1876737,$2264.73,$2327.2882,$2264.73
05/10/2022,$2287.9,1995019,$2310.15,$2325,$2258.01
05/09/2022,$2250.22,2040143,$2265,$2301.5418,$2240.0101
05/06/2022,$2314.93,1985479,$2303.69,$2351.43,$2280.31
05/05/2022,$2330.11,2292029,$2404.08,$2420.78,$2300.115
05/04/2022,$2445.22,2495764,$2340.63,$2457.09,$2302.32
05/03/2022,$2346.68,1248368,$2328.61,$2368.8363,$2320.69
05/02/2022,$2331.66,1776651,$2268.1,$2334.91,$2252
04/29/2022,$2282.19,2133800,$2334.69,$2358.395,$2276.29
04/28/2022,$2370.45,2444232,$2328.3,$2392.99,$2282.3
04/27/2022,$2285.89,4591029,$2289.385,$2344.84,$2254.7301
04/26/2022,$2373,3652744,$2445.89,$2450.2,$2370.22
04/25/2022,$2461.48,2306413,$2382.02,$2465.55,$2370.22
04/22/2022,$2392.71,2844186,$2500,$2508.04,$2378.5
04/21/2022,$2496.29,1822258,$2585,$2601.97,$2490.53
04/20/2022,$2560.8,1584773,$2617.84,$2627.98,$2550
04/19/2022,$2600.18,1324488,$2553.83,$2606.66,$2539.99
04/18/2022,$2553.53,1040433,$2540,$2564.25,$2523.64
04/14/2022,$2534.6,1579899,$2609.59,$2609.59,$2532.02
04/13/2022,$2597.88,1396362,$2560,$2606.68,$2554.825
04/12/2022,$2554.29,1635535,$2632,$2632,$2535.7797
04/11/2022,$2576.47,1844153,$2636.47,$2641.85,$2573.37
04/08/2022,$2665.75,1257140,$2711.67,$2713.4,$2659.31
04/07/2022,$2717.77,1311680,$2720.2,$2743.29,$2684.5479
04/06/2022,$2730.96,1623424,$2775,$2787.21,$2710.34
04/05/2022,$2811.82,1070906,$2857.38,$2859.81,$2807.65
04/04/2022,$2859.43,1298542,$2807.17,$2874.24,$2806.21
04/01/2022,$2803.01,1297072,$2790,$2809.415,$2766.15
03/31/2022,$2781.35,1876236,$2841.06,$2842.155,$2780.49
03/30/2022,$2838.77,994238,$2849.2,$2854.4063,$2832
03/29/2022,$2850.11,1715851,$2852.95,$2875.87,$2840.765
03/28/2022,$2829.11,1752463,$2818.01,$2840.05,$2796.225
03/25/2022,$2833.46,1207154,$2838.32,$2840.7,$2794.75
03/24/2022,$2831.44,1319828,$2784,$2832.375,$2755.01
03/23/2022,$2765.51,1257670,$2774.05,$2791.77,$2756.7
03/22/2022,$2797.36,1774777,$2722.03,$2821,$2722.03
03/21/2022,$2722.03,1341584,$2723.27,$2741,$2681.845
03/18/2022,$2722.51,2228345,$2668.49,$2724.88,$2645.165
03/17/2022,$2676.78,1413196,$2662.98,$2681.608,$2643.7
03/16/2022,$2665.61,1778849,$2614.66,$2666.66,$2574.69
03/15/2022,$2583.96,1545976,$2539.52,$2597.09,$2514.41
03/14/2022,$2519.02,1940563,$2605,$2608.18,$2505.5
03/11/2022,$2597.41,1576322,$2669.77,$2675.91,$2592.63
03/10/2022,$2648.59,1355070,$2625.32,$2665.435,$2618.25
03/09/2022,$2668.4,1851270,$2625,$2674.71,$2598.01
03/08/2022,$2542.09,2021355,$2525,$2625,$2513.4937
03/07/2022,$2527.57,2255647,$2629.76,$2634.7,$2525.9
03/04/2022,$2638.13,1522532,$2658.55,$2677.03,$2606.75
03/03/2022,$2677.99,1230162,$2720.2,$2728.7899,$2660.51
03/02/2022,$2691.43,1175990,$2692.56,$2705.25,$2661.4308
03/01/2022,$2681.23,1324768,$2697.57,$2725.11,$2664.37
02/28/2022,$2701.14,1943221,$2661,$2715.03,$2651.845
02/25/2022,$2689.19,1820299,$2671.04,$2705.43,$2635.03
02/24/2022,$2653.82,2722754,$2499.065,$2660,$2499.065
02/23/2022,$2551.76,1639301,$2632.97,$2641.02,$2550.55
02/22/2022,$2596.27,2249537,$2596.762,$2643.605,$2564.465
02/18/2022,$2608.06,2280972,$2669.34,$2681.3999,$2603.93
02/17/2022,$2650.78,1947475,$2724.86,$2742.2699,$2649.57
02/16/2022,$2754.76,1251065,$2732.93,$2761.72,$2698.475
02/15/2022,$2732.17,1335563,$2751.41,$2762.17,$2716.43
02/14/2022,$2710.52,1715054,$2665.13,$2726,$2665.13
02/11/2022,$2685.65,1997917,$2772,$2783.125,$2668
02/10/2022,$2772.4,1966533,$2794.07,$2829.69,$2759.14
02/09/2022,$2831.84,2007194,$2819.27,$2850.485,$2803.7406
